Date,Chicken
2016-12-25,54
2017-01-01,46
2017-01-08,56
2017-01-15,80
2017-01-22,60
2017-01-29,66
2017-02-05,66
2017-02-12,51
2017-02-19,66
2017-02-26,68
2017-03-05,65
2017-03-12,85
2017-03-19,58
2017-03-26,59
2017-04-02,63
2017-04-09,58
2017-04-16,55
2017-04-23,77
2017-04-30,68
2017-05-07,68
2017-05-14,79
2017-05-21,83
2017-05-28,64
2017-06-04,79
2017-06-11,68
2017-06-18,100
2017-06-25,77
2017-07-02,81
2017-07-09,81
2017-07-16,57
2017-07-23,63
2017-07-30,65
2017-08-06,86
2017-08-13,85
2017-08-20,65
2017-08-27,67
2017-09-03,57
2017-09-10,67
2017-09-17,58
2017-09-24,57
2017-10-01,94
2017-10-08,64
2017-10-15,72
2017-10-22,73
2017-10-29,76
2017-11-05,77
2017-11-12,78
2017-11-19,69
2017-11-26,70
2017-12-03,72
2017-12-10,62
2017-12-17,73
2017-12-24,76
2017-12-31,78
2018-01-07,80
2018-01-14,71
2018-01-21,69
2018-01-28,79
2018-02-04,80
2018-02-11,67
2018-02-18,81
2018-02-25,90
2018-03-04,70
2018-03-11,66
2018-03-18,74
2018-03-25,59
2018-04-01,73
2018-04-08,61
2018-04-15,62
2018-04-22,53
2018-04-29,55
2018-05-06,69
2018-05-13,58
2018-05-20,70
2018-05-27,71
2018-06-03,74
2018-06-10,66
2018-06-17,93
2018-06-24,65
2018-07-01,66
2018-07-08,63
2018-07-15,70
2018-07-22,87
2018-07-29,91
2018-08-05,76
2018-08-12,68
2018-08-19,99
2018-08-26,83
2018-09-02,56
2018-09-09,76
2018-09-16,61
2018-09-23,72
2018-09-30,70
2018-10-07,74
2018-10-14,60
2018-10-21,81
2018-10-28,60
2018-11-04,67
2018-11-11,61
2018-11-18,46
2018-11-25,63
2018-12-02,58
2018-12-09,64
2018-12-16,70
2018-12-23,68
2018-12-30,94
2019-01-06,80
2019-01-13,76
2019-01-20,68
2019-01-27,72
2019-02-03,64
2019-02-10,68
2019-02-17,79
2019-02-24,86
2019-03-03,64
2019-03-10,55
2019-03-17,85
2019-03-24,65
2019-03-31,66
2019-04-07,67
2019-04-14,82
2019-04-21,69
2019-04-28,76
2019-05-05,89
2019-05-12,70
2019-05-19,69
2019-05-26,62
2019-06-02,89
2019-06-09,86
2019-06-16,68
2019-06-23,66
2019-06-30,65
2019-07-07,92
2019-07-14,77
2019-07-21,82
2019-07-28,89
2019-08-04,72
2019-08-11,93
2019-08-18,71
2019-08-25,67
2019-09-01,76
2019-09-08,83
2019-09-15,83
2019-09-22,84
2019-09-29,73
2019-10-06,74
2019-10-13,74
2019-10-20,88
2019-10-27,71
2019-11-03,69
2019-11-10,77
2019-11-17,66
2019-11-24,66
2019-12-01,74
2019-12-08,82
2019-12-15,64
2019-12-22,81
2019-12-29,77
2020-01-05,55
2020-01-12,64
2020-01-19,80
2020-01-26,80
2020-02-02,80
2020-02-09,91
2020-02-16,71
2020-02-23,75
2020-03-01,77
2020-03-08,77
2020-03-15,74
2020-03-22,69
2020-03-29,75
2020-04-05,82
2020-04-12,94
2020-04-19,90
2020-04-26,92
2020-05-03,92
2020-05-10,77
2020-05-17,71
2020-05-24,80
2020-05-31,72
2020-06-07,80
2020-06-14,78
2020-06-21,74
2020-06-28,92
2020-07-05,87
2020-07-12,87
2020-07-19,82
2020-07-26,77
2020-08-02,83
2020-08-09,84
2020-08-16,80
2020-08-23,89
2020-08-30,85
2020-09-06,76
2020-09-13,68
2020-09-20,74
2020-09-27,84
2020-10-04,70
2020-10-11,77
2020-10-18,79
2020-10-25,71
2020-11-01,57
2020-11-08,72
2020-11-15,79
2020-11-22,74
2020-11-29,87
2020-12-06,73
2020-12-13,84
2020-12-20,93
2020-12-27,80
2021-01-03,86
2021-01-10,92
2021-01-17,73
2021-01-24,78
2021-01-31,75
2021-02-07,86
2021-02-14,86
2021-02-21,74
2021-02-28,71
2021-03-07,87
2021-03-14,67
2021-03-21,78
2021-03-28,88
2021-04-04,72
2021-04-11,63
2021-04-18,67
2021-04-25,82
2021-05-02,66
2021-05-09,63
2021-05-16,73
2021-05-23,64
2021-05-30,65
2021-06-06,74
2021-06-13,65
2021-06-20,76
2021-06-27,66
2021-07-04,84
2021-07-11,91
2021-07-18,81
2021-07-25,75
2021-08-01,78
2021-08-08,66
2021-08-15,69
2021-08-22,68
2021-08-29,52
2021-09-05,67
2021-09-12,66
2021-09-19,72
2021-09-23,40
2021-09-24,35
2021-09-25,91
2021-09-26,67
2021-09-27,60
2021-09-28,35
2021-09-29,67
2021-09-30,54
2021-10-01,70
2021-10-02,100
2021-10-03,62
2021-10-04,36
2021-10-05,45
2021-10-06,38
2021-10-07,36
2021-10-08,47
2021-10-09,70
2021-10-10,56
2021-10-11,42
2021-10-12,38
2021-10-13,26
2021-10-14,44
2021-10-15,47
2021-10-16,33
2021-10-17,49
2021-10-18,44
2021-10-19,24
2021-10-20,41
2021-10-21,39
2021-10-22,63
2021-10-23,39
2021-10-24,48
2021-10-25,17
2021-10-26,57
2021-10-27,37
2021-10-28,38
2021-10-29,36
2021-10-30,58
2021-10-31,47
2021-11-01,36
2021-11-02,37
2021-11-03,32
2021-11-04,40
2021-11-05,47
2021-11-06,66
2021-11-07,54
2021-11-08,28
2021-11-09,39
2021-11-10,35
2021-11-11,36
2021-11-12,45
2021-11-13,55
2021-11-14,50
2021-11-15,34
2021-11-16,52
2021-11-17,46
2021-11-18,33
2021-11-19,63
2021-11-20,52
2021-11-21,41
2021-11-22,39
2021-11-23,45
2021-11-24,56
2021-11-25,53
2021-11-26,56
2021-11-27,83
2021-11-28,50
2021-11-29,50
2021-11-30,66
2021-12-01,49
2021-12-02,46
2021-12-03,56
2021-12-04,47
2021-12-05,58
2021-12-06,43
2021-12-07,53
2021-12-08,54
2021-12-09,48
2021-12-10,57
2021-12-11,60
2021-12-12,58
2021-12-13,58
2021-12-14,44
2021-12-15,50
2021-12-16,54
2021-12-17,44
2021-12-18,81
2021-12-19,55
2021-12-20,61
