Date,Delivery
2016-12-18,13
2016-12-25,32
2017-01-01,24
2017-01-08,30
2017-01-15,33
2017-01-22,35
2017-01-29,41
2017-02-05,23
2017-02-12,31
2017-02-19,40
2017-02-26,14
2017-03-05,46
2017-03-12,37
2017-03-19,31
2017-03-26,39
2017-04-02,22
2017-04-09,34
2017-04-16,28
2017-04-23,37
2017-04-30,23
2017-05-07,30
2017-05-14,16
2017-05-21,54
2017-05-28,41
2017-06-04,38
2017-06-11,34
2017-06-18,49
2017-06-25,13
2017-07-02,32
2017-07-09,28
2017-07-16,25
2017-07-23,37
2017-07-30,30
2017-08-06,21
2017-08-13,40
2017-08-20,40
2017-08-27,6
2017-09-03,31
2017-09-10,48
2017-09-17,39
2017-09-24,31
2017-10-01,41
2017-10-08,47
2017-10-15,30
2017-10-22,51
2017-10-29,32
2017-11-05,23
2017-11-12,50
2017-11-19,60
2017-11-26,36
2017-12-03,33
2017-12-10,28
2017-12-17,43
2017-12-24,38
2017-12-31,34
2018-01-07,35
2018-01-14,22
2018-01-21,50
2018-01-28,17
2018-02-04,30
2018-02-11,37
2018-02-18,33
2018-02-25,39
2018-03-04,20
2018-03-11,36
2018-03-18,27
2018-03-25,19
2018-04-01,24
2018-04-08,35
2018-04-15,27
2018-04-22,47
2018-04-29,24
2018-05-06,28
2018-05-13,18
2018-05-20,23
2018-05-27,8
2018-06-03,16
2018-06-10,13
2018-06-17,32
2018-06-24,29
2018-07-01,29
2018-07-08,29
2018-07-15,11
2018-07-22,13
2018-07-29,21
2018-08-05,36
2018-08-12,27
2018-08-19,16
2018-08-26,29
2018-09-02,23
2018-09-09,13
2018-09-16,13
2018-09-23,20
2018-09-30,39
2018-10-07,17
2018-10-14,24
2018-10-21,30
2018-10-28,33
2018-11-04,21
2018-11-11,35
2018-11-18,45
2018-11-25,38
2018-12-02,34
2018-12-09,25
2018-12-16,47
2018-12-23,23
2018-12-30,32
2019-01-06,36
2019-01-13,19
2019-01-20,27
2019-01-27,53
2019-02-03,79
2019-02-10,72
2019-02-17,66
2019-02-24,62
2019-03-03,46
2019-03-10,71
2019-03-17,56
2019-03-24,92
2019-03-31,45
2019-04-07,23
2019-04-14,59
2019-04-21,37
2019-04-28,75
2019-05-05,40
2019-05-12,31
2019-05-19,36
2019-05-26,38
2019-06-02,50
2019-06-09,27
2019-06-16,54
2019-06-23,43
2019-06-30,39
2019-07-07,20
2019-07-14,29
2019-07-21,53
2019-07-28,54
2019-08-04,36
2019-08-11,39
2019-08-18,44
2019-08-25,28
2019-09-01,32
2019-09-08,29
2019-09-15,39
2019-09-22,37
2019-09-29,40
2019-10-06,47
2019-10-13,40
2019-10-20,32
2019-10-27,62
2019-11-03,34
2019-11-10,41
2019-11-17,31
2019-11-24,26
2019-12-01,40
2019-12-08,84
2019-12-15,70
2019-12-22,28
2019-12-29,38
2020-01-05,28
2020-01-12,44
2020-01-19,52
2020-01-26,36
2020-02-02,44
2020-02-09,36
2020-02-16,40
2020-02-23,29
2020-03-01,67
2020-03-08,40
2020-03-15,36
2020-03-22,33
2020-03-29,73
2020-04-05,100
2020-04-12,55
2020-04-19,43
2020-04-26,39
2020-05-03,51
2020-05-10,53
2020-05-17,36
2020-05-24,59
2020-05-31,70
2020-06-07,38
2020-06-14,27
2020-06-21,58
2020-06-28,46
2020-07-05,49
2020-07-12,68
2020-07-19,39
2020-07-26,55
2020-08-02,56
2020-08-09,32
2020-08-16,44
2020-08-23,55
2020-08-30,73
2020-09-06,67
2020-09-13,58
2020-09-20,48
2020-09-27,59
2020-10-04,45
2020-10-11,58
2020-10-18,42
2020-10-25,54
2020-11-01,45
2020-11-08,39
2020-11-15,64
2020-11-22,55
2020-11-29,43
2020-12-06,44
2020-12-13,52
2020-12-20,77
2020-12-27,63
2021-01-03,51
2021-01-10,53
2021-01-17,69
2021-01-24,70
2021-01-31,66
2021-02-07,59
2021-02-14,81
2021-02-21,76
2021-02-28,79
2021-03-07,62
2021-03-14,72
2021-03-21,64
2021-03-28,56
2021-04-04,80
2021-04-11,53
2021-04-18,49
2021-04-25,67
2021-05-02,55
2021-05-09,40
2021-05-16,58
2021-05-23,67
2021-05-30,73
2021-06-06,39
2021-06-13,35
2021-06-20,48
2021-06-27,46
2021-07-04,53
2021-07-11,64
2021-07-18,53
2021-07-25,58
2021-08-01,55
2021-08-08,45
2021-08-15,48
2021-08-22,38
2021-08-29,53
2021-09-05,60
2021-09-12,39
2021-09-17,11
2021-09-18,52
2021-09-19,41
2021-09-20,14
2021-09-21,41
2021-09-22,12
2021-09-23,22
2021-09-24,44
2021-09-25,100
2021-09-26,71
2021-09-27,42
2021-09-28,31
2021-09-29,31
2021-09-30,53
2021-10-01,78
2021-10-02,25
2021-10-03,61
2021-10-04,46
2021-10-05,41
2021-10-06,35
2021-10-07,88
2021-10-08,55
2021-10-09,42
2021-10-10,55
2021-10-11,46
2021-10-12,58
2021-10-13,43
2021-10-14,54
2021-10-15,48
2021-10-16,53
2021-10-17,40
2021-10-18,35
2021-10-19,63
2021-10-20,41
2021-10-21,83
2021-10-22,51
2021-10-23,36
2021-10-24,54
2021-10-25,54
2021-10-26,48
2021-10-27,42
2021-10-28,36
2021-10-29,25
2021-10-30,42
2021-10-31,55
2021-11-01,60
2021-11-02,30
2021-11-03,31
2021-11-04,36
2021-11-05,45
2021-11-06,37
2021-11-07,34
2021-11-08,47
2021-11-09,47
2021-11-10,42
2021-11-11,12
2021-11-12,84
2021-11-13,53
2021-11-14,21
2021-11-15,53
2021-11-16,39
2021-11-17,24
2021-11-18,30
2021-11-19,62
2021-11-20,36
2021-11-21,40
2021-11-22,83
2021-11-23,48
2021-11-24,55
2021-11-25,30
2021-11-26,39
2021-11-27,36
2021-11-28,41
2021-11-29,36
2021-11-30,35
2021-12-01,30
2021-12-02,60
2021-12-03,63
2021-12-04,55
2021-12-05,40
2021-12-06,29
2021-12-07,65
2021-12-08,36
2021-12-09,48
2021-12-10,37
2021-12-11,28
2021-12-12,19
2021-12-13,53
2021-12-14,52
